l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,length_m,r,x,c,i_th_max,V_base_kV_line,Z_base_ohms_line,x_pu,I_th_max_kA,P_th_max_MVA_line,P_th_max_pu_line
1.0,1,2,220000.0,3.0,2.0,50.0,43379.0,1.73516,13.88128,498.8585,112.7854,220.0,484.0,0.028680330578512398,0.1127854,42.97700949343534,0.4297700949343534
2.0,3,4,380000.0,6.0,4.0,50.0,72686.0,0.227144,18.1715,995.7982,1511.8688,380.0,1444.0,0.012584141274238228,1.5118688,995.0807588717119,9.950807588717119
3.0,5,6,220000.0,6.0,2.0,50.0,33943.0,0.67886,10.86176,390.3445,176.5036,220.0,484.0,0.022441652892561986,0.1765036,67.2569046421391,0.672569046421391
4.0,7,5,380000.0,3.0,4.0,50.0,33471.0,0.209194,8.36775,458.5527,348.0984,380.0,1444.0,0.005794840720221606,0.34809840000000003,229.11116363670496,2.2911116363670496
5.0,8,9,380000.0,6.0,4.0,50.0,28163.0,0.088009,7.04075,385.8331,585.7904,380.0,1444.0,0.004875865650969529,0.5857903999999999,385.5551194467163,3.8555511944671625
6.0,10,11,220000.0,3.0,2.0,50.0,27565.0,1.1026,8.8208,316.9975,71.669,220.0,484.0,0.018224793388429753,0.071669,27.309556852083848,0.2730955685208385
7.0,11,12,220000.0,3.0,2.0,50.0,45809.0,1.83236,14.65888,526.8035,119.1034,220.0,484.0,0.03028694214876033,0.1191034,45.38449083392378,0.4538449083392378
8.0,10,12,220000.0,3.0,2.0,50.0,68390.0,2.7356,21.8848,786.485,177.814,220.0,484.0,0.04521652892561983,0.177814,67.75623410535151,0.6775623410535151
9.0,13,14,220000.0,6.0,2.0,50.0,39497.0,0.78994,12.63904,454.2155,205.3844,220.0,484.0,0.026113719008264463,0.2053844,78.26196749405084,0.7826196749405083
10.0,13,15,380000.0,3.0,2.0,50.0,44323.0,0.554038,11.08075,607.2251,230.4796,380.0,1444.0,0.007673649584487535,0.2304796,151.69690337709767,1.5169690337709767
11.0,16,5,380000.0,3.0,4.0,50.0,36253.0,0.226581,9.06325,496.6661,377.0312,380.0,1444.0,0.00627648891966759,0.3770312,248.15413388669188,2.481541338866919
12.0,17,18,380000.0,3.0,3.0,50.0,200291.0,1.669092,50.07275,2743.9867,1562.2698,380.0,1444.0,0.034676419667590025,1.5622698,1028.2536541175778,10.282536541175778
13.0,17,12,380000.0,3.0,3.0,50.0,24268.0,0.202233,6.067,332.4716,189.2904,380.0,1444.0,0.004201523545706371,0.1892904,124.58702427031359,1.2458702427031358
14.0,13,15,380000.0,3.0,2.0,50.0,44371.0,0.554638,11.09275,607.8827,230.7292,380.0,1444.0,0.007681959833795014,0.2307292,151.86118493209398,1.5186118493209397
15.0,14,15,220000.0,3.0,2.0,50.0,5432.0,0.226544,1.812352,65.13140000000001,14.72536,220.0,484.0,0.0037445289256198347,0.01472536,5.611115769543337,0.05611115769543337
16.0,13,19,220000.0,6.0,2.0,50.0,30996.0,0.61992,9.91872,356.454,161.1792,220.0,484.0,0.02049322314049587,0.16117920000000002,61.41752397512723,0.6141752397512723
17.0,20,21,380000.0,3.0,2.0,50.0,31287.0,0.391088,7.82175,428.6319,162.6924,380.0,1444.0,0.005416724376731302,0.1626924,107.08077106602113,1.0708077106602112
18.0,20,22,380000.0,3.0,4.0,50.0,57378.0,0.358613,14.3445,786.0786,596.7312,380.0,1444.0,0.009933864265927978,0.5967311999999999,392.7561276073871,3.927561276073871
19.0,20,23,220000.0,3.0,2.0,50.0,3314.0,0.127216,1.017728,36.5746,8.26904,220.0,484.0,0.0021027438016528923,0.00826904,3.1509274301602566,0.031509274301602566
20.0,23,24,220000.0,3.0,1.6,50.0,62919.0,3.517608,20.037376,720.0931999999999,129.88326,220.0,484.0,0.041399537190082644,0.12988326,49.492169181989254,0.49492169181989254
21.0,25,26,380000.0,6.0,3.2,50.0,8189.0,0.0760122,2.01745,110.55626,80.28124,380.0,1444.0,0.0013971260387811637,0.08028124,52.83945089835972,0.5283945089835972
22.0,25,22,380000.0,6.0,4.0,50.0,10108.0,0.0635786,2.54315,139.36462,105.79504,380.0,1444.0,0.0017611842105263156,0.10579504,69.63210609813703,0.6963210609813703
23.0,27,28,220000.0,6.0,2.4,50.0,23316.0,0.8197040000000001,7.297280000000001,262.246,71.30968,220.0,484.0,0.015077024793388431,0.07130968,27.172637542925205,0.27172637542925204
24.0,27,23,220000.0,6.0,2.4,50.0,19722.0,0.717424,6.349696,228.1922,61.50872,220.0,484.0,0.013119206611570247,0.061508719999999996,23.437970192676147,0.23437970192676147
25.0,8,21,380000.0,6.0,4.0,50.0,28833.0,0.160727,7.1331500000000005,390.89662,355.31808,380.0,1444.0,0.00493985457063712,0.35531808000000004,233.86300761497273,2.338630076149727
26.0,9,29,380000.0,3.6,4.0,50.0,25571.0,0.1359244,6.5232,357.47135999999995,352.66296,380.0,1444.0,0.004517451523545706,0.35266296,232.11546257369966,2.3211546257369964
27.0,30,25,380000.0,3.0,3.2,50.0,57641.0,0.5025278,14.361,786.9828,478.0235199999999,380.0,1444.0,0.009945290858725761,0.4780235199999999,314.6251890641085,3.146251890641085
28.0,31,32,380000.0,3.0,3.0,50.0,129863.0,1.082192,32.46575,1779.1231,1012.9314,380.0,1444.0,0.022483206371191135,1.0129314,666.6904867651119,6.66690486765112
29.0,32,33,380000.0,3.0,3.0,50.0,72614.0,0.605117,18.1535,994.8118,566.3892,380.0,1444.0,0.012571675900277008,0.5663891999999999,372.78565107815024,3.7278565107815025
30.0,34,35,220000.0,3.0,2.0,50.0,5845.0,0.2338,1.8704,67.2175,15.197,220.0,484.0,0.0038644628099173553,0.015196999999999999,5.790834746977329,0.05790834746977329
31.0,35,36,220000.0,3.0,2.0,50.0,2650.0,0.106,0.848,30.475,6.89,220.0,484.0,0.0017520661157024793,0.006889999999999999,2.6254426141129037,0.026254426141129036
32.0,2,6,220000.0,3.0,2.0,50.0,74645.0,2.9858,23.8864,858.4175,194.077,220.0,484.0,0.049352066115702475,0.194077,73.9532694077199,0.739532694077199
