l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,length_m,r,x,c,i_th_max
1.0,1.0,2.0,220000.0,3.0,2.0,50.0,43379.0,1.73516,13.88128,498.8585,112.7854
2.0,3.0,4.0,380000.0,6.0,4.0,50.0,72686.0,0.227144,18.1715,995.7982,1511.8688
3.0,5.0,6.0,220000.0,6.0,2.0,50.0,33943.0,0.67886,10.86176,390.3445,176.5036
4.0,7.0,5.0,380000.0,3.0,4.0,50.0,33471.0,0.209194,8.36775,458.5527,348.0984
5.0,8.0,9.0,380000.0,6.0,4.0,50.0,28163.0,0.088009,7.04075,385.8331,585.7904
6.0,10.0,11.0,220000.0,3.0,2.0,50.0,27565.0,1.1026,8.8208,316.9975,71.669
7.0,11.0,12.0,220000.0,3.0,2.0,50.0,45809.0,1.83236,14.65888,526.8035,119.1034
8.0,10.0,12.0,220000.0,3.0,2.0,50.0,68390.0,2.7356,21.8848,786.485,177.814
9.0,13.0,14.0,220000.0,6.0,2.0,50.0,39497.0,0.78994,12.63904,454.2155,205.3844
10.0,13.0,15.0,380000.0,3.0,2.0,50.0,44323.0,0.554038,11.08075,607.2251,230.4796
11.0,16.0,5.0,380000.0,3.0,4.0,50.0,36253.0,0.226581,9.06325,496.6661,377.0312
12.0,17.0,18.0,380000.0,3.0,3.0,50.0,200291.0,1.669092,50.07275,2743.9867,1562.2698
13.0,17.0,12.0,380000.0,3.0,3.0,50.0,24268.0,0.202233,6.067,332.4716,189.2904
14.0,13.0,15.0,380000.0,3.0,2.0,50.0,44371.0,0.554638,11.09275,607.8827,230.7292
15.0,14.0,15.0,220000.0,3.0,2.0,50.0,5432.0,0.226544,1.812352,65.13140000000001,14.72536
16.0,13.0,19.0,220000.0,6.0,2.0,50.0,30996.0,0.61992,9.91872,356.454,161.1792
17.0,20.0,21.0,380000.0,3.0,2.0,50.0,31287.0,0.391088,7.82175,428.6319,162.6924
18.0,20.0,22.0,380000.0,3.0,4.0,50.0,57378.0,0.358613,14.3445,786.0786,596.7312
19.0,20.0,23.0,220000.0,3.0,2.0,50.0,3314.0,0.127216,1.017728,36.5746,8.26904
20.0,23.0,24.0,220000.0,3.0,1.6,50.0,62919.0,3.517608,20.037376000000002,720.0931999999999,129.88326
21.0,25.0,26.0,380000.0,6.0,3.2,50.0,8189.0,0.0760122,2.01745,110.55626,80.28124
